Subject, Waytotal, Total, PAG_NVox, AON, AON_NVox, AON_NVoxPath, PirF, PirF_NVox, PirF_NVoxPath, PirT, PirT_NVox, PirT_NVoxPath, Tub, Tub_NVox, Tub_NVoxPath, 
622236, 1040822  , 30090.999980, 218, 1063.000050, 314, 177, 11491.999928, 251, 218, 7149.999970, 522, 218, 10385.999967, 187, 217, 
627549, 952029  , 15257.000064, 192, 1533.000059, 356, 149, 3714.000066, 272, 189, 3104.999919, 483, 189, 6905.000064, 159, 192, 
633847, 881866  , 23011.000020, 180, 701.999974, 336, 146, 6117.000082, 210, 178, 3839.999975, 421, 175, 12351.999960, 159, 180, 
638049, 994721  , 11380.999917, 203, 2274.000000, 325, 128, 2916.999909, 252, 199, 3298.999966, 488, 202, 2890.999980, 214, 198, 
645450, 950333  , 5841.999930, 192, 296.999968, 364, 86, 1313.000040, 206, 165, 1709.000011, 395, 167, 2522.999934, 171, 182, 
654350, 824491  , 56851.000050, 167, 936.000033, 285, 127, 16344.999930, 264, 166, 12812.000018, 626, 166, 26757.999986, 187, 166, 
654754, 847567  , 8765.000010, 172, 310.000020, 332, 110, 2486.000076, 214, 167, 2488.000032, 397, 166, 3480.999975, 172, 171, 
656253, 1155710  , 102296.999894, 233, 783.999976, 381, 202, 34077.000027, 244, 233, 28412.999998, 522, 233, 39023.000071, 199, 233, 
656657, 1224653  , 26064.999888, 249, 255.999996, 589, 126, 9865.000032, 351, 244, 2992.000064, 640, 232, 12951.999948, 215, 244, 
657659, 909052  , 33909.000037, 187, 218.999984, 403, 112, 11401.999994, 263, 187, 9240.999944, 487, 187, 13046.999946, 139, 186, 
660951, 944832  , 12494.000064, 192, 189.999996, 366, 87, 3205.000008, 199, 189, 3131.999912, 424, 188, 5967.000056, 173, 188, 
663755, 1052327  , 43052.000040, 216, 327.000002, 419, 139, 14293.000080, 276, 214, 6086.000010, 511, 213, 22346.000064, 198, 216, 
664757, 1072295  , 12405.999980, 220, 402.999960, 372, 110, 3643.999918, 242, 214, 3096.000030, 455, 218, 5263.000056, 182, 216, 
667056, 993153  , 18416.999934, 202, 1700.000010, 264, 186, 5532.999978, 196, 202, 4159.000018, 403, 202, 7025.000049, 140, 201, 
671855, 942184  , 27238.000052, 191, 393.000048, 323, 129, 5557.999941, 251, 179, 6282.999975, 483, 177, 15004.000055, 183, 185, 
672756, 1053049  , 17658.999939, 214, 101.999996, 420, 67, 5560.000008, 229, 204, 3255.000030, 473, 201, 8741.999988, 173, 212, 
679568, 851300  , 14598.999975, 178, 886.999950, 297, 103, 3103.000048, 218, 164, 5417.000020, 394, 170, 5192.000043, 159, 163, 
679770, 894565  , 7646.000087, 187, 532.000005, 264, 115, 2197.999968, 197, 184, 3591.000035, 453, 185, 1325.000082, 173, 174, 
690152, 1044102  , 33256.999988, 214, 681.999984, 366, 152, 8789.999920, 262, 208, 7536.000040, 451, 212, 16248.999912, 176, 212, 
